type,involved_person,datetime,operation,operation_name,location,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing
Person search,True,2022-01-17T14:27:00+00:00,False,,"52.056986, 1.141709",52.056986,1.141709,1135703,On or near Sports/Recreation Area,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Psychoactive substances,A no further action disposal,False,False
Person search,True,2022-01-17T14:27:00+00:00,False,,"52.056986, 1.141709",52.056986,1.141709,1135703,On or near Sports/Recreation Area,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Psychoactive substances,A no further action disposal,False,False
Person search,True,2022-01-17T16:25:00+00:00,False,,"52.253024, 0.801063",52.253024,0.801063,1140689,On or near The Hambros,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,True,2022-01-17T18:00:00+00:00,False,,"52.228700, 0.724958",52.228700,0.724958,1139462,On or near Robin Road,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-17T19:00:00+00:00,False,,"52.058301, 1.164139",52.058301,1.164139,1135870,On or near Arthur'S Terrace,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-17T19:13:00+00:00,False,,"51.971197, 1.328331",51.971197,1.328331,1133782,On or near Barnfield,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-17T20:45:00+00:00,False,,"52.046673, 1.166439",52.046673,1.166439,1135929,On or near Holy Wells Road,Male,over 34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T01:22:00+00:00,False,,"52.056779, 1.132576",52.056779,1.132576,1135576,On or near Ranelagh Road,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,True,False
Person search,True,2022-01-18T08:45:00+00:00,False,,"52.064251, 1.134704",52.064251,1.134704,1136775,On or near Sallows Close,Male,18-24,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,True,2022-01-18T12:35:00+00:00,False,,"52.260548, 0.710687",52.260548,0.710687,1140886,On or near Tollgate Lane,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T12:35:00+00:00,False,,"52.260548, 0.710687",52.260548,0.710687,1140886,On or near Tollgate Lane,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T13:45:00+00:00,False,,"52.058635, 1.139549",52.058635,1.139549,1135582,On or near Gibbons Street,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T14:30:00+00:00,False,,"52.053919, 1.160868",52.053919,1.160868,1135706,On or near Parking Area,Male,25-34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T14:30:00+00:00,False,,"52.053919, 1.160868",52.053919,1.160868,1135706,On or near Parking Area,Male,25-34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
